Recency,Frequency,Monetary
3751,6,85.3
3441,9,101.1
3456,21,119.05
3585,6,65.46
3459,13,164.2
3554,18,126.24
3473,7,66.7
3387,19,193.0
3701,6,24.3
3438,13,232.7
3388,16,105.55
3447,10,100.4
3654,4,22.7
3832,8,59.4
3515,13,182.84
3404,25,345.1
3482,5,26.3
3649,4,65.75
3435,14,86.4
3789,11,92.09
3741,17,135.2
3472,9,46.82
3530,12,81.4
3579,11,47.3
3610,9,53.9
3408,9,81.9
3582,7,42.3
3555,10,108.12
3390,6,85.7
3540,10,109.8
3807,6,38.4
3821,12,107.2
3476,18,145.3
3455,4,49.8
3772,3,50.9
3418,12,97.4
3500,11,67.3
3874,10,88.11
3509,12,133.2
3489,10,48.6
3390,17,206.9
3645,10,85.4
3601,8,140.2
3680,12,59.9
3411,11,120.9
3437,9,70.4
3417,13,104.9
3754,2,11.7
3560,23,158.6
3659,9,38.25
3572,8,67.0
3726,4,36.5
3733,7,67.15
3421,16,154.75
3537,10,80.8
3416,7,72.16
3569,10,106.64
3491,6,95.0
3552,12,87.75
3658,10,91.9
3460,11,142.2
3745,5,40.9
3612,4,28.6
3688,6,45.8
3402,9,56.65
3425,15,109.72
3523,7,20.0
3409,12,62.5
3635,9,60.05
3555,8,47.25
3566,8,61.42
3672,8,99.2
3550,10,82.0
3856,9,54.52
3591,9,126.1
3535,6,38.7
3429,13,160.65
3443,8,95.9
3489,5,80.7
3627,5,38.7
3594,11,161.4
3900,4,14.7
3518,5,32.9
3494,15,225.65
3526,14,110.6
3472,8,61.6
3405,14,146.6
3430,18,244.5
3654,11,67.7
3802,7,68.5
3606,11,51.0
3490,25,257.54
3759,2,21.9
3506,10,47.7
3480,5,39.1
3532,9,35.9
3532,5,69.9
3575,2,25.3
3834,11,43.22
3411,21,127.61
3795,8,34.4
3484,4,18.8
3454,11,51.05
3474,6,97.4
3433,10,66.7
3397,12,105.05
3383,11,78.5
3406,4,22.56
3429,22,185.8
3585,14,183.1
3502,17,234.75
3595,8,197.2
3921,6,22.8
3418,15,109.12
3648,8,92.3
3466,14,141.2
3780,13,118.38
3757,12,111.3
3717,8,47.4
3792,2,12.8
3445,12,93.64
3475,10,74.44
3409,12,99.2
3407,7,59.22
3673,10,62.45
3634,6,61.2
3451,26,253.51
3542,5,51.2
3535,20,180.64
3499,7,44.8
3439,10,85.6
3589,7,74.66
3508,6,55.1
3512,16,195.7
3587,7,36.55
3523,4,13.0
3422,7,34.65
3532,11,137.0
3470,4,70.4
3512,4,39.6
3695,6,30.0
3427,14,193.0
3462,19,98.9
3402,12,93.15
3421,14,72.99
3953,2,10.7
3453,6,65.0
3607,6,38.6
3482,9,99.8
3551,21,126.9
3423,13,115.3
3460,16,157.7
3492,20,179.8
3813,2,16.2
3524,19,185.8
3867,11,49.6
3515,6,42.2
3452,13,67.8
3614,10,72.0
3439,14,137.52
3420,11,204.15
3483,5,36.6
3819,4,39.0
3469,20,140.86
3499,4,21.7
3622,14,115.9
3400,12,110.5
3910,9,112.0
3505,21,129.75
3539,15,219.8
3427,10,43.35
3447,6,108.1
3415,10,85.3
3674,4,57.2
3524,11,114.62
3698,8,76.12
4094,2,11.3
3711,4,20.8
3558,7,101.5
3395,19,160.6
3733,4,25.2
3393,12,54.9
3583,10,70.8
3378,2,11.1
3772,10,53.17
3526,4,44.2
3811,16,91.24
3442,15,93.95
3466,11,101.0
3538,14,76.76
3945,9,100.7
3481,8,120.55
3589,5,25.9
3445,2,114.9
3619,5,76.6
3473,4,23.3
3455,3,6.7
3730,3,41.9
3677,6,105.9
3417,17,193.7
3454,10,49.83
3438,4,54.7
3394,7,89.2
3521,16,199.6
3412,8,39.75
3454,9,76.0
3491,6,56.9
3490,2,7.6
3529,6,42.2
3399,23,201.2
3502,8,103.8
3553,9,81.9
3464,12,83.1
3579,15,58.22
3612,10,51.75
3380,21,150.12
3604,27,168.05
3506,16,159.24
3507,7,82.4
3490,19,264.32
3449,7,47.3
3415,6,44.7
3509,13,118.8
3477,13,83.99
3400,4,32.0
3415,6,51.85
3448,6,11.65
3458,6,49.4
3389,12,55.34
3385,18,86.86
3654,4,13.2
3500,7,32.45
3568,19,84.5
3610,4,22.6
3515,4,47.6
3446,16,180.4
3505,13,139.6
3424,18,91.1
3419,9,67.8
3730,2,20.6
3539,23,260.7
3499,7,64.1
3905,4,10.25
3790,8,73.4
3789,4,75.2
3825,4,37.45
3388,13,134.29
3553,11,86.7
3495,7,33.22
3685,13,153.9
3533,7,54.45
3697,11,201.5
3458,6,62.46
3385,11,113.22
3868,6,32.3
3633,8,101.95
3605,10,76.95
3477,4,47.4
3462,15,140.0
3475,14,146.7
3419,14,139.24
3631,16,113.56
3392,9,66.01
3401,15,148.4
3509,5,35.25
3388,12,96.8
3392,12,73.2
3462,9,95.3
3563,4,23.9
3424,32,279.4
3478,8,32.2
3393,12,95.12
3430,17,101.85
3414,18,145.23
3425,5,32.54
3587,12,65.76
3857,9,165.35
3535,5,36.4
3381,9,112.0
3477,8,48.11
3411,13,116.9
3509,8,53.0
3720,14,84.0
3601,12,137.7
3518,9,36.54
3584,12,81.65
3559,10,146.1
3389,24,223.85
3455,10,82.66
3410,12,73.2
3573,9,83.65
3388,11,55.2
3722,6,18.0
3404,8,58.0
3607,15,170.9
3453,6,59.04
3542,14,168.41
3631,5,53.6
3720,10,103.0
3415,10,45.9
3431,12,108.0
3515,3,25.3
3630,8,66.7
3589,20,182.4
3643,10,70.0
3702,5,32.7
3438,16,161.3
3450,11,69.4
3432,16,95.3
3579,16,159.3
3980,6,34.44
3470,6,38.2
3717,2,8.6
3468,11,111.27
3814,7,35.8
3456,15,151.14
3388,11,39.6
3612,12,108.5
3672,2,20.55
3449,9,110.4
3721,5,72.06
3414,12,56.4
3411,18,107.5
3468,6,53.1
3441,10,51.9
3532,8,81.5
3686,8,63.51
3950,4,19.0
3492,8,44.6
3432,6,33.3
3420,7,61.4
3501,4,12.1
3431,13,146.28
3543,5,68.2
3475,8,69.2
3462,14,180.0
3800,4,20.6
3645,10,82.15
3950,3,38.6
3566,6,60.9
3990,2,49.0
3419,12,95.22
3520,11,111.23
3519,15,109.9
3503,12,90.0
3754,11,76.2
3525,16,169.96
3473,7,69.4
3717,8,62.8
3701,2,9.0
3992,4,93.3
3679,18,221.86
3636,12,81.6
3378,6,22.7
3675,9,31.0
3566,19,156.0
3536,7,49.3
3737,10,148.6
3396,5,16.8
3571,6,72.9
3426,9,53.6
3542,10,62.25
3599,9,93.0
3470,11,176.94
3496,11,78.9
3759,4,17.09
3668,11,97.7
3792,8,40.4
3523,9,44.2
3440,11,120.56
3529,11,56.8
3544,8,80.06
3463,12,126.96
3840,4,19.92
3572,10,107.5
3414,25,155.6
3493,12,65.3
3398,15,117.75
3400,9,122.4
3413,7,40.95
3437,11,83.4
3573,10,94.45
3496,18,187.5
3681,5,59.8
3519,4,40.1
3846,7,30.8
3677,13,102.52
3522,13,108.8
3832,6,43.85
3388,11,177.1
3636,4,41.15
3755,5,21.1
3568,7,73.6
3744,7,45.6
3401,24,241.86
3458,11,69.9
3498,20,128.25
3514,6,37.75
3410,10,74.75
3458,6,39.1
3428,10,101.67
3701,5,27.3
3469,27,361.45
3586,15,127.91
3551,8,58.76
3460,14,103.4
3920,2,13.8
3885,2,22.8
3954,4,33.0
3459,10,94.9
3600,14,117.65
3471,13,169.45
3564,2,64.2
3472,12,108.6
3676,8,54.3
3452,7,40.5
3644,8,74.2
3531,8,95.8
3466,14,156.4
3474,18,271.95
3409,13,74.3
3441,12,88.4
3870,2,5.3
3723,4,30.6
3412,14,128.8
3421,2,24.2
3406,8,91.05
3559,13,80.6
3635,6,19.2
3526,6,28.2
3390,6,83.42
3380,19,170.95
3624,10,82.5
3674,13,108.1
3571,5,27.7
3592,4,45.66
3386,22,210.51
3594,17,186.6
3405,15,109.2
3616,14,155.7
3502,9,86.05
3384,20,164.2
3444,13,113.35
3708,13,104.36
3702,9,89.6
3402,12,100.9
3395,12,69.41
3407,12,81.54
3451,9,78.9
3586,12,87.82
3484,10,74.9
3654,15,141.8
3607,8,98.56
3501,5,108.3
3591,11,68.15
3666,2,4.4
3593,4,55.1
3454,8,73.4
3568,16,205.0
3461,20,131.17
3540,6,34.3
3718,12,135.7
3390,12,105.85
3509,9,85.35
3607,8,64.9
3815,7,33.3
3940,6,26.15
3439,8,62.75
3562,13,65.5
3434,10,108.95
3559,2,39.9
3730,8,59.2
3474,14,93.85
3469,9,86.3
3427,14,151.6
3479,6,81.9
3469,22,222.4
3418,30,240.2
3494,13,142.0
3411,14,89.0
3737,11,79.34
3528,4,33.32
3731,7,58.7
3724,7,89.46
3520,6,42.84
3778,8,90.6
3731,4,35.5
3442,2,53.7
3611,3,57.6
3724,7,38.42
3665,13,131.4
3392,4,26.2
3404,6,99.9
3392,8,84.2
3591,12,83.12
3434,16,137.84
3489,11,94.2
3479,12,97.85
3658,2,12.4
3389,19,140.56
3476,22,202.0
3380,10,47.9
3944,2,5.35
3682,2,5.92
3463,20,166.8
3428,7,69.07
3480,10,107.3
3384,9,39.35
4078,2,6.0
3896,6,122.6
3560,2,6.4
3471,7,102.34
3460,13,93.54
3562,11,121.62
3854,6,28.6
3379,12,64.07
3659,16,137.68
3437,17,117.2
3607,9,74.5
3693,5,38.54
3413,10,67.3
3388,14,128.42
3583,6,83.16
3726,6,33.7
3612,6,82.3
3765,10,110.9
3575,13,121.2
4061,4,24.8
3746,6,52.3
3512,6,41.6
